text,label,word_count,char_count,sentence_count,unique_word_count,type_token_ratio,hapax_legomenon_ratio,avg_word_length,avg_sentence_length,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,coleman_liau_index,function_word_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,adp_ratio,aux_ratio,entity_count,entity_density,comma_count,semicolon_count,colon_count,exclamation_count,question_count,punctuation_density,discourse_marker_count,negation_count
"A  genetic  program  consists  of  a  number  of  copies  of  a routine  that  contain  encoded  “genes”  that  represent  ele-ments  of  algorithms.   The  routines  are  given  a  task  (such as  sorting  data  or  recognizing  patterns)  and  the  most  suc-cessful  routines  are  allowed  to  “reproduce”  by  exchanging genetic  material.   (Often,  further  “mutation”  or  variation  is introduced  at  this  stage,  to  increase  the  range  of  available solutions. )  The  new  “generation”  is  then  allowed  to  tackle the  problem,  and  the  process  is  repeated.   As  a  result,  the routines  become  increasingly  efficient  at  solving  the  given problem, just as organisms in nature become more perfectly adapted to a given environment.",0,127,760,5,75,0.5905511811023622,0.4094488188976378,4.480314960629921,25.4,31.628571428571462,14.064761904761905,17.542857142857144,15.6451,12.895238095238096,0.3779527559055118,0.1308411214953271,0.09813084112149532,0.04205607476635514,0.03271028037383177,0.056074766355140186,0.02336448598130841,0,0.0,5,0,0,0,0,0.03937007874015748,0,0
Model-free reinforcement learning algorithms learn directly from experience without building an internal model of the environment.,1,17,130,1,17,1.0,1.0,6.764705882352941,17.0,-10.329999999999984,18.675,23.900000000000002,18.243605946275583,23.312499999999996,0.23529411764705882,0.3684210526315789,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.0,0,0.0,0,0,0,0,0,0.0,0,0
"There are a variety of ways in which data (facts or measurements about the world) can be turned into a digital representation suitable for manipulation by a computer.  For example, pressing a key on the keyboard sends a signal that is stored in a memory buffer using a value that represents the ASCII character code for the key pressed.  Moving the mouse sends a stream of signals that are proportional to the rotation of the ball which in turn is calibrated into a series of coordinates and ultimately to a position on the screen where the cursor is to be moved.  Digital cameras and scanners convert the varying light levels of what they “see” into a digital image",0,126,666,4,80,0.6349206349206349,0.49206349206349204,4.333333333333333,31.5,41.389110169491545,14.815000000000001,18.918644067796613,16.218646115125612,9.640677966101698,0.49206349206349204,0.26356589147286824,0.10852713178294573,0.046511627906976744,0.007751937984496124,0.15503875968992248,0.05426356589147287,3,0.023809523809523808,1,0,0,0,0,0.007936507936507936,0,0
"At bottom, information in a computer is stored as a series of bits,  which  can  be  grouped  into  larger  units  such  as  bytes or “words” that represent particular numbers or characters.  In  order  to  be  stored  and  retrieved,  a  collection  of  such binary  data  must  be  given  a  name  and  certain  attributes that  describe  how  the  information  can  be  accessed.   This named entity is the file.",0,74,415,3,52,0.7027027027027027,0.4864864864864865,4.202702702702703,24.666666666666668,53.759545454545474,11.22636363636364,14.860606060606063,13.5591,9.481818181818184,0.4594594594594595,0.16071428571428573,0.08035714285714286,0.05357142857142857,0.0,0.07142857142857142,0.08035714285714286,0,0.0,3,0,0,0,0,0.04054054054054054,0,0
"Conversational AI systems aim to engage users through natural, context-aware dialogue across multiple platforms.",1,16,112,1,16,1.0,1.0,6.1875,16.0,11.339285714285722,15.15571428571429,17.02857142857143,14.554592549557764,21.857142857142858,0.125,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,1,0.0625,1,0,0,0,0,0.0625,0,0
"File transfer can be implemented in several different ways, depending on the requirements and constraints of the system.  Some common implementations of file transfer include:Client-server file transfer: In this implementation, files are transferred between a client computer and a server computer.  The client sends a request for a file to the server, which then sends the file back to the client.  This is commonly used for file transfer over the internet, such as downloading files from a website. Peer-to-peer file transfer: In this implementation, files are transferred directly between two or more computers on a network, without the need for a centralized server.  Peer-to-peer file transfer is often used for sharing files between individuals or for file sharing networks, such as BitTorrent. Cloud-based file transfer: In this implementation, files are transferred between a local computer and a remote cloud server, which stores and manages the files.  Cloud-based file transfer is commonly used for storing and sharing files online, such as with cloud storage services like Google Drive or Dropbox. Physical media transfer: In this implementation, files are transferred using physical media, such as USB drives or CDs/DVDs.  Physical media transfer is commonly used for transferring large files or for situations where internet access is not available or practical.",1,236,1376,10,96,0.4067796610169492,0.25,4.927966101694915,23.6,43.77396153846155,12.32103846153846,15.243076923076922,14.117786864225405,14.230769230769237,0.3644067796610169,0.3023255813953488,0.08527131782945736,0.06976744186046512,0.031007751937984496,0.13178294573643412,0.04263565891472868,5,0.0211864406779661,12,0,5,0,0,0.05084745762711865,0,2
Visual odometry techniques estimate camera motion by analyzing sequential images.,1,11,81,1,11,1.0,1.0,6.545454545454546,11.0,-31.734999999999985,20.170000000000005,32.0,18.243605946275583,22.419999999999998,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0,0.0,0,0,0,0,0,0.0,0,0
Inverse reinforcement learning seeks to infer the reward function given observed behavior.,1,13,90,1,13,1.0,1.0,6.076923076923077,13.0,25.455000000000013,12.690000000000001,11.466666666666669,11.20814326018867,19.433333333333334,0.15384615384615385,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0
"Compilers are traditionally thought of as having a “front end” that analyzes the source code (high-level language statements) and a “back end” that generates the appropriate low-level code.  The front end processing begins with lexical analysis.  The compiler scans the source program looking for matches to valid tokens as defined by the language.  A token is any word or symbol that has meaning in the language, such as a keyword (reserved word) such as if or while.  Next, the tokens are parsed or grouped according to the rules of the language.  The result of parsing is a “parse tree” that resolves statements into their component parts.  For example, an assignment statement may be parsed into an identifier, an assignment operator (such as =), and a value to be assigned.  The value in turn may be an arithmetic expression that consists of operators and operands.",0,169,870,8,90,0.5325443786982249,0.33136094674556216,4.260355029585799,21.125,54.396770104895126,10.112718531468534,12.744405594405595,12.38480682065935,10.61118881118881,0.40828402366863903,0.26256983240223464,0.1005586592178771,0.07262569832402235,0.0111731843575419,0.1005586592178771,0.05027932960893855,1,0.005917159763313609,5,0,0,0,0,0.029585798816568046,0,0
"Error handling refers to the process of detecting, reporting, and resolving errors or exceptions that occur during the execution of a computer program or system.  Errors can occur due to a variety of reasons, such as incorrect input, hardware malfunctions, or programming errors. When an error occurs, the program or system must be able to identify the error and take appropriate action to resolve it.  This may involve notifying the user of the error, logging the error for later analysis, or attempting to recover from the error by executing an alternative path or retrying the operation. There are several techniques for error handling in computing, including:Exception handling: This involves using try-catch statements or other constructs to identify and handle exceptions in a program. Error codes: This involves using predefined error codes to identify specific types of errors and taking appropriate action based on the error code. Error messages: This involves providing descriptive error messages to users to help them understand what went wrong and how to fix it. Logging: This involves recording error information in logs for later analysis and troubleshooting.",1,204,1173,8,105,0.5147058823529411,0.3627450980392157,4.857843137254902,25.5,30.562337707182337,14.617175414364642,17.005801104972374,15.414825405933506,13.910497237569057,0.35294117647058826,0.2980769230769231,0.16826923076923078,0.0673076923076923,0.0,0.09615384615384616,0.019230769230769232,1,0.004901960784313725,9,0,5,0,0,0.04411764705882353,0,2
I once adopted a stray kitten who followed me home from school.,0,13,63,1,13,1.0,1.0,4.0,13.0,81.85500000000002,4.823333333333334,8.133333333333335,8.841846274778883,6.383333333333336,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0,0.0,0,0,0,0,0,0.0,0,0
"Variations of genetic algorithms or “evolutionary program-ming” have been used for many applications.  In engineering development, a virtual environment can be set up in which a  simulated  device  such  as  a  robot  arm  can  be  allowed  to evolve  until  it  is  able  to  perform  to  acceptable  specifica-tions.  (NASA has also used genetic programs competing on 80 computers to design a space antenna. ) Different versions of an expert system program can be allowed to compete at performing  tasks  such  as  predicting  the  behavior  of  finan-cial markets.  Finally, a genetic program is a natural way to simulate  actual  biological  evolution  and  behavior  in  fields such as epidemiology",0,115,703,5,82,0.7130434782608696,0.5739130434782609,4.869565217391305,23.0,18.737142857142857,15.862857142857148,19.44761904761905,17.353723509956247,13.005714285714287,0.4,0.20125786163522014,0.0880503144654088,0.09433962264150944,0.012578616352201259,0.0880503144654088,0.06918238993710692,2,0.017391304347826087,2,0,0,0,0,0.017391304347826087,0,0
Growing strawberries in the backyard taught me the joy of gardening.,0,12,68,1,11,0.9166666666666666,0.8333333333333334,4.833333333333333,12.0,64.9245454545455,6.936363636363637,11.672727272727274,11.20814326018867,11.563636363636363,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0,0.0,0,0,0,0,0,0.0,0,0
"Supercomputers are always more expensive and somewhat less reliable than standard computers, so they are used only when necessary.  As the power of standard computers continues to grow, applications that formerly required a multimillion-dollar supercomputer can now run on a desktop workstation (a good example is the creation of detailed 3D graphics). On the other hand, there are always applications that will soak up whatever computing power can be brought to bear on them.  These include analysis of new aircraft designs, weather and climate models, the study of nuclear reactions, and the creation of models for the synthesis of proteins.  The neverending battle of organizations such as the National Security Agency (NSA) to monitor worldwide communications and crack ever-tougher encryption also demands the fastest available supercomputers ,.",0,142,850,5,94,0.6619718309859155,0.5070422535211268,5.077464788732394,28.4,20.114142857142895,16.714190476190478,20.873650793650796,18.026119701940384,15.385714285714286,0.3873239436619718,0.2214765100671141,0.087248322147651,0.11409395973154363,0.06711409395973154,0.09395973154362416,0.04697986577181208,3,0.02112676056338028,7,0,0,0,0,0.04929577464788732,0,2
"Radio Frequency Identification (RFID) is a technology that uses radio waves to wirelessly identify and track objects or people.  RFID systems consist of three main components: a tag or transponder, a reader or interrogator, and a backend system for processing the data. The RFID tag contains a small microchip and an antenna, which can be attached to or embedded within an object.  When the tag is exposed to radio waves from a nearby reader, it powers up and sends back a signal containing its unique identifier. RFID technology has a wide range of applications, from tracking inventory and assets in supply chain management to monitoring patients in hospitals and controlling access to secure areas.  It provides a more efficient and automated way to collect data and streamline processes, compared to manual methods such as barcode scanning.",1,151,844,6,98,0.6490066225165563,0.5165562913907285,4.675496688741722,25.166666666666668,33.91215686274512,14.160294117647059,16.71372549019608,15.688483145680365,12.36323529411765,0.36423841059602646,0.2727272727272727,0.12987012987012986,0.07792207792207792,0.01948051948051948,0.09740259740259741,0.025974025974025976,6,0.039735099337748346,6,0,1,0,0,0.039735099337748346,0,2
Dynamic path planning enables autonomous robots to adapt routes in response to moving obstacles and changes in the environment.,1,20,127,1,18,0.9,0.8,5.45,20.0,22.8026315789474,14.798947368421054,18.126315789473683,15.903189008614273,15.610526315789478,0.3,0.4,0.15,0.1,0.0,0.15,0.0,0,0.0,0,0,0,0,0,0.0,0,1
Lifting weights strengthens muscles and bones.,1,7,46,1,7,1.0,1.0,5.857142857142857,7.0,73.84500000000001,4.450000000000003,2.4000000000000004,3.1291,17.93333333333334,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0
"Biometrics identification systems are based on the recognition of unique morphological characteristics of each individual‚ so that only the physical presence of the person will allow access to the system.  Numerous biometric parameters are available such as: facial‚ iris‚ fingerprints‚ hand and finger geometry‚ signature and voice recognition.  Although iris recognition has stronger security credentials‚ fingerprints are often preferred due to the maturity of the technology ,.  As Table 4A outlines‚ Retina Scan‚ Iris Scan and Hand Geometry are most accurate and both‚ the False Rejection Rate (FRR) and the False Acceptance Rate (FAR) are quite low for these Authentication measures based on Biometrics.  In Table 4B other measures are outlined that can be used for Access Control.  Often a system may use a Magnetic Swipe Card and a Keypad Entry System to give an employee access to a restricted office area or a database.  Some of the time a system such as the ones outlined in Table 4B may also be combined with one of those described and explained in Table 4C.  Unfortunately‚ all the one’s in Table 4C do have‚ however‚ some severe weaknesses that limit their Reliability and Validity.  In particular the FRR and FAR may not be satisfactory.  For instance‚ during May 2002 a Japanese group of researchers reported that using fake fingerprints fashioned from gelatin were able to fool biometric fingerprint readers 80% of the time.  The researchers also devised a way to create fake fingerprints from fingerprints left on glass surfaces.  What is interesting is that the material needed to make this work‚ was purchased at a neighborhood store and cost less than Euro 11.  This attack is a classic replay (or forgery) attack.  Unfortunately‚ replays are not unique to fingerprints but are a fundamental Vulnerability of all Biometrics ,.  The American Civil Liberties Union (ACLU) published a report during May 2002 about the inaccuracy of tests using facial recognition technology at the Palm Beach (FL) International Airport.  The technology failed to correctly identify faces more than half of the time.  The recognition rate went down when people wore glasses‚ turned their heads‚ or were moving.",0,382,2210,17,212,0.5549738219895288,0.39790575916230364,4.824607329842932,22.470588235294116,38.25051260504202,13.038840336134456,15.663865546218489,14.721396884518764,12.491428571428571,0.3717277486910995,0.20531400966183574,0.08454106280193237,0.07246376811594203,0.026570048309178744,0.0966183574879227,0.05555555555555555,42,0.1099476439790576,2,0,1,0,0,0.005235602094240838,1,7
"HTML is a standard markup language used for creating web pages and applications.  It defines the structure and layout of web pages using various tags and attributes, and allows developers to create text, images, links, forms, and multimedia content.  HTML is a platform-independent language and can be combined with other technologies like CSS and JavaScript to add further functionality and interactivity.",1,69,406,3,49,0.7101449275362319,0.5652173913043478,4.9855072463768115,23.0,28.091748633879803,14.392459016393445,16.002185792349728,14.554592549557764,14.596721311475413,0.3333333333333333,0.3150684931506849,0.1095890410958904,0.0821917808219178,0.0,0.0547945205479452,0.0547945205479452,4,0.057971014492753624,5,0,0,0,0,0.07246376811594203,0,1
"Command and Conrol Warfare (C2W) is an integrated use of electronicwarfare, military deception, operations security, and also physical destruction.  These activities are supported by intelligence in order to deny information or degrade or destroy adversary command and control capabilities. Friendly C2 activities are protected C2W is an application of information operations in military operations and a subset of information warfare.  Hence,it can be offensive and defensive raising ethical questions for non militaryapplications if ever used.",0,86,545,4,60,0.6976744186046512,0.5116279069767442,5.453488372093023,21.5,0.5557500000000175,17.839833333333335,21.366666666666667,17.693802365651003,18.117333333333338,0.313953488372093,0.3068181818181818,0.06818181818181818,0.09090909090909091,0.03409090909090909,0.07954545454545454,0.06818181818181818,5,0.05813953488372093,4,0,0,0,0,0.046511627906976744,1,1
"The Rijndael algorithm is a symmetric key block cipher algorithm used for encryption and decryption of digital data.  It was selected as the Advanced Encryption Standard (AES) in 2001, replacing the Data Encryption Standard (DES). The Rijndael algorithm operates on fixed block sizes of 128 bits and supports key sizes of 128, 192, or 256 bits.  It uses a series of mathematical operations, including substitution, permutation, and XOR operations, to transform plaintext into ciphertext. The Rijndael algorithm is considered secure and widely used in many applications, including secure communication protocols, digital rights management, and data storage encryption.  It is also used in many popular software applications, including Adobe Acrobat and Microsoft Office.",1,133,769,6,72,0.5413533834586466,0.3308270676691729,4.924812030075188,22.166666666666668,18.68833333333336,15.290000000000003,20.68095238095238,17.315433740611066,15.44642857142857,0.24812030075187969,0.18382352941176472,0.10294117647058823,0.08088235294117647,0.022058823529411766,0.08088235294117647,0.029411764705882353,14,0.10526315789473684,11,0,0,0,0,0.08270676691729323,0,0
Swimming builds endurance and promotes heart health.,1,8,52,1,8,1.0,1.0,5.75,8.0,66.7871428571429,5.682857142857145,8.514285714285714,8.841846274778883,17.257142857142863,0.125,0.5,0.25,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0
She prefers reading historical novels over science fiction.,0,9,59,1,9,1.0,1.0,5.777777777777778,9.0,18.940000000000026,12.605000000000004,8.200000000000001,8.841846274778883,17.474999999999998,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0,0.0,0,0,0,0,0,0.0,0,1
"Every Thanksgiving, we held a massive backyard football game.",0,11,61,1,11,1.0,1.0,4.818181818181818,11.0,47.30000000000004,8.89777777777778,3.6,11.20814326018867,13.777777777777786,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0.09090909090909091,0,0
I spent hours reading comics under a giant oak tree every summer.,0,13,65,1,13,1.0,1.0,4.153846153846154,13.0,53.655,8.756666666666668,4.800000000000001,8.841846274778883,7.350000000000005,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,2,0.15384615384615385,0,0,0,0,0,0.0,0,0
"In recent years the disposal of obsolete computers and other electronic  equipment  (“e-waste”)  has  been  both  a  grow-ing  concern  and  a  business  opportunity.   There  are  many toxic substances in electronics components, including lead, mercury,  and  cadmium.   Processing  e-waste  to  recover  raw materials is expensive, so greater emphasis has been placed on  disassembling  machines  and  reusing  or  refurbishing their  individual  components.  meanwhile,  many  communi-ties have banned disposing of e-waste in regular trash, and some have offered opportunities to drop off e-waste at no or minimal  charge.   States  such  as  California  have  also  insti-tuted  a  recycling  fee  that  is  collected  upon  sale  of  devices such as CRT monitors and televisions.",0,123,784,5,89,0.7235772357723578,0.5853658536585366,5.065040650406504,24.6,23.544333333333356,15.341407407407413,21.232592592592596,18.026119701940384,15.105555555555561,0.36585365853658536,0.23404255319148937,0.06914893617021277,0.0797872340425532,0.015957446808510637,0.05851063829787234,0.05319148936170213,2,0.016260162601626018,6,0,0,0,0,0.04878048780487805,0,1
"File cache is a type of cache memory used by computer operating systems to improve the performance of file system access. When a file is accessed, the operating system will store a copy of the file's contents in the file cache.  If the file is accessed again, the operating system can retrieve the file from the file cache instead of reading it from the slower hard drive.  This can significantly improve the speed of file access and overall system performance. File cache works by utilizing the available memory in a computer's RAM to store frequently accessed files.  The operating system manages the file cache, determining which files should be cached based on their access patterns and available memory.  The size of the file cache is typically dynamic and can vary based on the available system memory and the demands of other processes running on the system. File cache is particularly effective for improving the performance of applications that frequently access small files, such as web browsers and document editors.  By keeping frequently accessed files in cache, these applications can retrieve them quickly and efficiently, improving overall performance and reducing wait times. However, like any cache, file cache has limitations.  If the file being accessed is larger than the available cache memory, the operating system may need to read the file from the hard drive, resulting in slower performance.  Additionally, the effectiveness of the file cache can be affected by the access patterns of other processes running on the system, which can lead to cache ""thrashing"" and reduced performance.",1,286,1610,12,109,0.3811188811188811,0.23076923076923078,4.713286713286713,23.833333333333332,44.34040697674422,12.415930232558143,16.351937984496125,14.90622815163357,12.452713178294577,0.3706293706293706,0.30716723549488056,0.12286689419795221,0.05802047781569966,0.040955631399317405,0.10238907849829351,0.06143344709897611,1,0.0034965034965034965,12,0,0,0,0,0.04195804195804196,1,0
"The Blue Screen of Death (BSOD) is an error screen displayed on a Windows computer when the operating system encounters a critical error that it cannot recover from.  The screen appears as a blue background with white text and is also known as a ""stop error"" or a ""system crash. ""The BSOD is typically caused by hardware or software issues, such as faulty drivers, system files, or memory problems.  When a critical error occurs, Windows displays the BSOD to prevent further damage to the system and to allow the user to troubleshoot the problem. The BSOD screen provides a message that includes a stop code, which can help identify the cause of the error.  The stop code is a hexadecimal code that indicates the type of error that occurred, such as a driver issue or a memory problem. When a BSOD occurs, the computer will typically restart automatically, although it may also display a memory dump or other diagnostic information.  To resolve the issue, users can try to identify the cause of the error using the stop code and other diagnostic information provided on the BSOD screen. BSODs can be frustrating and disruptive, but they are an important safety feature of the Windows operating system that helps prevent further damage to the system when critical errors occur.",1,243,1276,9,107,0.4403292181069959,0.26337448559670784,4.362139917695473,27.0,48.63964157706096,12.46494623655914,14.437071172555045,13.023866798666859,10.529032258064518,0.40329218106995884,0.24696356275303644,0.11336032388663968,0.0728744939271255,0.020242914979757085,0.06477732793522267,0.048582995951417005,8,0.03292181069958848,10,0,0,0,0,0.0411522633744856,0,5
"The preceding data types all hold single values.  However, most modern languages allow for the construction of data types that can hold more than one piece of data.  The arrayis the most basic structured data type; it represents a series of memory locations that hold data of one of the basic types.  Thus, in Pascal an array of integer holds integers, each taking up two bytes of memory. Many languages have composite data types that can hold data of several different basic types.  For example, the struct in C or the record in Pascal can hold data such as a person’s first and last name, three lines of address (all arrays of characters, or strings), an employee number (perhaps an integer or double), a Boolean field representing the presence or absence of some status, and so on.  This kind of data type is also called a user-defined data type because programmers can define and use these types in almost the same ways as they use the language’s built-in basic types. What is the difference between data types and data structures? There is no hard-and-fast distinction.  Generally, data structures such as lists, stacks, queues, and trees are more complex than simple data types, because they include data relationships and special functions (such as pushing or popping data on a stack).  However, a list is the fundamental data type in list-processing languages such as Lisp, and string operators are built into languages such as Snobol.  (See list processing, stack, queue, and tree. )Further, in many modern languages fundamental and structured data types are combined seamlessly into classes that combine data structures with the relevant operations ,",0,319,1660,13,150,0.4702194357366771,0.322884012539185,4.322884012539185,24.53846153846154,52.88703296703298,11.099633699633703,13.235164835164836,12.766815935922704,11.046886446886447,0.3605015673981191,0.28059701492537314,0.08059701492537313,0.10149253731343283,0.03880597014925373,0.10149253731343283,0.029850746268656716,8,0.025078369905956112,21,1,0,0,1,0.07210031347962383,3,2
